BoardTime,EEG_Ch1,EEG_Ch2,EEG_Ch3,EEG_Ch4,Label,session_id
1761180214.5194852,-125.64040490580838,-67.16671961025656,31.817806556384003,25.576242223297303,nothing,0
1761180214.5346248,-177.73782536506508,-97.38393294934866,60.42429581547246,66.42262701365418,nothing,0
1761180214.5638933,-163.92298677839605,-91.82405258196566,55.94479879465831,66.4712957521971,nothing,0
1761180214.5781956,-161.51782944000576,-94.82250332225992,49.32271560072158,62.88705498755623,nothing,0
1761180214.594604,-169.85233772398567,-109.18809191120118,47.97840348448482,55.8822980007137,nothing,0
1761180214.623865,-168.31590436656555,-110.20126157854001,41.12890175392699,55.20652806605712,nothing,0
1761180214.654944,-160.9384547636263,-98.98819905624086,37.79609121697388,59.650457651848726,nothing,0
1761180214.6560187,-147.21274422732125,-89.24793789710684,45.55296772432114,67.54983449047236,nothing,0
1761180214.6838963,-136.17548458860867,-81.92369613066288,42.953922860610504,73.10530663229687,nothing,0
1761180214.6981993,-133.68436192793394,-73.79762277241166,39.261536486235556,72.54126589517578,nothing,0
1761180214.71462,-131.49042442146674,-75.4308409819415,34.59545870041951,69.17690035752003,nothing,0
1761180214.7436595,-128.1819898772984,-76.43221004046798,22.906927901040028,69.22735585995379,nothing,0
1761180214.7595968,-129.70245402974115,-73.25607429651147,15.840744104324429,54.23460984970061,nothing,0
1761180214.774871,-127.21338307550236,-75.20538808784036,7.77981131485577,43.650001604036326,nothing,0
1761180214.8039277,-114.52653304293352,-74.53538991733801,6.522278475955365,38.44840330578974,nothing,0
1761180214.8182127,-104.64645129195219,-68.6430853286688,3.112464529255348,32.22595957567353,nothing,0
1761180214.8345711,-92.51936146380524,-55.22313943587225,-1.2226821367071672,29.67042828149934,nothing,0
1761180214.8639112,-72.41685129241006,-41.5125233748612,1.6228780184399767,31.339438012421557,nothing,0
1761180214.878278,-60.60221884200601,-33.647547724669025,-1.7292765856986794,27.536210688548312,nothing,0
1761180214.8945894,-43.960158861905256,-21.437558481964235,-4.077187698028993,18.324365164670375,nothing,0
1761180214.923933,-18.334614656914248,-10.41323362894322,-2.4461378623032157,8.849758526508172,nothing,0
1761180214.9382143,-9.22792356961892,-6.450680258044763,-8.814401389920459,-4.555348958421224,nothing,0
1761180214.9546835,6.120280601155677,4.2196701334137146,-15.222329165805956,-10.098567199432885,nothing,0
1761180214.9839647,29.01843086210323,20.101866692215978,-14.975857011796027,-7.584720101454996,nothing,0
1761180214.9981673,49.70801251078949,33.43775162994069,-10.649769670089773,-2.1674055183173593,nothing,0
1761180215.0146415,75.00071373168991,53.07155668986053,-15.127641815687344,-2.1275189722198924,nothing,0
1761180215.0438907,94.19699233422732,69.91318820603405,-21.058964720542896,-6.798227214755974,nothing,0
1761180215.058153,113.73687305529808,75.32484704499683,-25.46735855898107,-23.58368661809998,nothing,0
1761180215.0747435,134.3887632545837,88.55193804240447,-23.92488241234542,-32.74235327867688,nothing,0
1761180215.103939,163.42460765393918,108.58568343979312,-22.14871633993149,-24.768752766715057,nothing,0
1761180215.1181557,192.23379260365832,123.24751867024887,-26.12313829201759,-22.809354256796368,nothing,0
1761180215.134657,213.9747045346125,140.01022346073472,-33.66962603411346,-33.28949538761431,nothing,0
1761180215.163954,242.38660939029054,157.47093428886944,-40.03789029877356,-44.88093144699368,nothing,0
1761180215.1783333,265.3267761004128,174.9070160338177,-44.79924108033106,-51.84569742896817,nothing,0
1761180215.2090046,289.7180681891603,195.68572974960665,-48.23047908636655,-60.734619689388914,nothing,0
1761180215.2241485,317.8502280528264,217.29590405905975,-57.81385115766239,-68.33528704940744,nothing,0
1761180215.2382464,345.70517306474795,238.39355970706916,-59.89552191890247,-75.73637503635602,nothing,0
1761180215.2547562,368.8408339696271,253.00411285282195,-60.232975928427,-87.08493583556964,nothing,0
1761180215.2839048,400.86532585424686,276.78627442671933,-63.49700445830327,-85.31199288722057,nothing,0
1761180215.2982886,442.3554093344022,313.1244397564882,-53.37316330484163,-67.14849178812521,nothing,0
1761180215.3145983,465.2196049740572,322.8273208510338,-61.0303711225211,-81.2351220070714,nothing,0
1761180215.3440063,482.3631767616231,326.66698671931164,-81.45772882518096,-100.81120802133901,nothing,0
1761180215.3581955,528.2301537810569,367.7633400150128,-68.2475741792348,-73.02140272943595,nothing,0
1761180215.3745823,567.5179344701332,399.1253496622259,-66.88926601067737,-60.41463409363787,nothing,0
1761180215.4039392,590.410860845565,408.0793111596299,-80.3025843637244,-73.2666852271898,nothing,0
1761180215.418198,624.5243317719115,426.36113636432304,-73.3590969181482,-86.3696846221565,nothing,0
1761180215.4346323,642.8748075402165,437.94047861214875,-95.95098384550055,-111.76468559573146,nothing,0
1761180215.4639604,636.3717254162423,434.29353064473304,-102.79391078356014,-113.43212168704014,nothing,0
1761180215.4782166,795.8413166123113,547.1878504687978,-121.81672276610777,-137.49831005830586,nothing,0
1761180215.4945824,428.2141314709477,287.22434159522624,-68.71529675874329,-81.39278735109316,nothing,0
1761180215.509649,-583.2545736312403,-424.23289306825103,89.37813485039447,80.9610470316512,nothing,0
1761180215.5388975,-700.4784191385252,-500.38211513222484,115.35126152594255,109.93994124350712,nothing,0
1761180215.553206,-568.016287354648,-400.7637634354676,109.00981812344492,108.83393383702983,nothing,0
1761180215.5696585,-582.6973563674145,-414.01272456578766,107.28773775349258,111.5806206255382,nothing,0
1761180215.5989523,-547.2128498286269,-391.8473324270796,96.42779259643608,94.13481723814132,nothing,0
1761180215.6132584,-510.58186153402426,-365.319882989486,94.62335371794829,94.1444812723069,nothing,0
1761180215.629706,-497.993807221514,-352.73107809530103,79.4667457409438,89.2220560351996,nothing,0
1761180215.658996,-471.01872233198003,-333.0383028797959,72.10365772421589,71.44040325197608,nothing,0
1761180215.6732056,-430.68041908342303,-309.0737383312144,79.98434674418188,79.41910221247204,nothing,0
1761180215.6897483,-406.94581196497654,-288.551009703612,77.38732279292527,78.42951031356108,nothing,0
1761180215.7190058,-388.9893021909247,-277.32588231910825,64.40112552239212,58.83433129455644,nothing,0
1761180215.7331831,-370.2565160848724,-271.3079915057787,47.071529590599745,39.26421628765427,nothing,0
1761180215.7496672,-349.73610115227,-256.834569227048,38.00455862290115,29.209068795406353,nothing,0
1761180215.7789884,-327.7336287142207,-240.45446399783566,38.519593165449656,25.37746290889901,nothing,0
1761180215.7933412,-303.3634212971678,-223.13315496699502,35.371831277257364,28.335929198884052,nothing,0
1761180215.8097742,-271.7021212757843,-206.01055642115352,30.791813073247255,28.69981537315416,nothing,0
1761180215.8389904,-242.52269399890668,-180.604474622793,36.31881890574026,33.724712466490544,nothing,0
1761180215.853312,-220.70352692858847,-149.49100888196853,42.77338311780977,43.31658304477619,nothing,0
1761180215.8696742,-207.11889564093977,-146.98860154436318,25.401019982870032,23.98304953266167,nothing,0
1761180215.898986,-193.4539781639175,-140.59268336754232,21.084979507837076,15.88757535545317,nothing,0
1761180215.913299,-168.7548289122008,-117.74210843706392,31.06462421493562,29.750653649038973,nothing,0
1761180215.929683,-145.49767122052538,-104.42998879523083,20.51538609022658,19.698419718408385,nothing,0
1761180215.9589744,-134.4500200785477,-89.24280625698715,14.489722353270711,10.654504742397286,nothing,0
1761180215.973348,-113.88581314531334,-73.32348942563081,15.065440573199577,10.497651218149851,nothing,0
1761180215.9896944,-88.26111386253247,-58.29609348601316,8.61867724812302,9.587151331642847,nothing,0
1761180216.018931,-75.37508927877387,-46.99559635325573,9.995474584601627,7.941358926152148,nothing,0
1761180216.0333104,-66.00432055713082,-44.88458533555577,6.460008672749062,-2.9568731609433714,nothing,0
1761180216.0496476,-52.7408405981788,-40.58323276006378,-4.262518484859084,-14.482855910847356,nothing,0
1761180216.078895,-32.3459299858563,-28.83898329839775,-7.090201701557115,-18.933495393368837,nothing,0
1761180216.093249,-23.69277591956581,-20.27743071873862,-10.831878702499283,-27.460969675162556,nothing,0
1761180216.1095784,-21.30618402092555,-9.353563099028294,-9.2870082082232,-22.48445175189009,nothing,0
1761180216.138903,-3.272699151092926,3.66974860134142,-12.223951619841724,-16.251441890873387,nothing,0
1761180216.153277,15.17562463230868,9.12672566160652,-13.825310998197132,-20.700003590366876,nothing,0
1761180216.1697118,23.087689957420135,13.24394581479278,-10.43719269183806,-17.4780168657309,nothing,0
1761180216.198968,34.235536538096255,23.853064435693074,-8.632864601692107,-14.516691676186694,nothing,0
1761180216.2132208,46.92634823212819,43.60831302639844,-3.390297247998367,0.9558788378548617,nothing,0
1761180216.2297733,63.82609027330714,58.391352358265245,6.329453615003126,16.772227285366977,nothing,0
1761180216.2589614,75.66296894236453,67.16559717200684,10.147529933816692,17.04184979015988,nothing,0
1761180216.2732787,76.396167141127,69.93723106267792,5.957591793785059,11.329557302358811,nothing,0
1761180216.2896376,85.81097318274722,76.03735437539984,1.4029933086651536,15.020822977529757,nothing,0
1761180216.318862,97.07235463074198,79.51687032285044,3.37423070631215,20.792172082224056,nothing,0
1761180216.3332324,99.38952471679042,83.14387253493977,6.451478180484436,17.158749890012732,nothing,0
1761180216.3496451,97.25993419579582,85.41419641658139,3.611815997971206,17.75401906589683,nothing,0
1761180216.379016,96.3295697075758,82.44519928393011,-2.634943455151692,18.564199846520157,nothing,0
1761180216.3931248,95.91964970841352,88.43839039035498,-7.214179297301303,12.557038761660488,nothing,0
1761180216.409666,100.45698545167522,86.98976198122187,-7.517348068475312,9.237064011560085,nothing,0
1761180216.438958,98.76963022220659,76.72873415957805,-10.72069293370852,-2.028977776003358,nothing,0
1761180216.4532256,93.29502088469009,75.4486802052601,-16.31307835484223,-10.198061661856665,nothing,0
1761180216.4696872,88.32272594274754,73.65412858755593,-17.539777982252083,-10.099056293332163,nothing,0
1761180216.498887,93.5822024559054,69.34770158678938,-13.011459668357414,-15.75078855679344,nothing,0
1761180216.5146227,90.455437866323,62.639712365776916,-19.95856195318532,-17.47045635033881,nothing,0
1761180216.5442648,83.80399125222866,62.68110910053382,-25.204636985949413,-9.484827499945936,nothing,0
1761180216.558306,91.69001005545046,68.6225697223226,-19.765071164940167,1.6407664925723473,nothing,0
1761180216.574674,89.1543378445733,70.03103125554213,-16.94998974432001,5.053675493413227,nothing,0
1761180216.6039238,88.7001879818892,63.69108487747174,-13.974497557499184,2.3597016712095247,nothing,0
1761180216.6181934,93.6370955997663,57.21203963992405,-13.338837591868325,2.314090672735408,nothing,0
1761180216.6346896,83.44237604892113,55.14463294863488,-17.63551657350894,-4.284442957141504,nothing,0
1761180216.663966,75.23577731250425,48.3958988682176,-24.04874783906491,-9.34527124406202,nothing,0
1761180216.6782255,76.37449053563007,43.47421895535172,-25.37737779617089,-13.735596879125698,nothing,0
1761180216.6945877,66.50928805796636,32.23865119405042,-24.642931361052725,-26.834357512520235,nothing,0
1761180216.7238946,61.45039202881337,31.64857502231105,-25.318590288139685,-26.007167394484256,nothing,0
1761180216.7384272,61.70950581785657,36.317521746924726,-24.326885737597834,-22.85969456491378,nothing,0
1761180216.754618,55.742428113057386,34.67108873661844,-21.06510680984903,-23.89453565475077,nothing,0
1761180216.7836804,55.17454110984119,34.941968988722245,-18.124249737573013,-20.144586335983394,nothing,0
1761180216.799611,56.38803444768233,35.452425904392044,-14.109723360299137,-17.629847392004795,nothing,0
1761180216.814658,56.7546010061727,31.635649566834488,-9.946974795909043,-15.928487080596089,nothing,0
1761180216.843958,52.55965684577601,31.84648398214304,-8.18231833884858,-12.58670444726638,nothing,0
1761180216.8746068,48.24109619411161,32.399652330244955,-11.555158974547338,-17.263410424047926,nothing,0
1761180216.8761122,38.856804823169185,24.864981499707735,-17.023317331289466,-23.435684096639342,nothing,0
1761180216.9040368,32.458076250382646,20.53805163685105,-15.652688501683802,-23.519792115900934,nothing,0
1761180216.9181807,25.38925452292069,15.577759210620833,-14.06671559130613,-25.495974415856335,nothing,0
1761180216.9348044,13.21653329762723,9.686269259934654,-14.254687415832562,-30.581536067694753,nothing,0
1761180216.9639544,10.060607375986532,3.3402659177690577,-16.274813176598457,-29.567169588067102,nothing,0
1761180216.9782505,8.492684719840902,-0.07790326045778051,-18.546386937022703,-31.55266632346398,nothing,0
1761180216.9946375,4.75313321582664,1.7825920951053753,-12.964623323611683,-25.811815584839927,nothing,0
1761180217.0238864,10.490626570363391,4.995522570849875,-4.069786180604688,-10.886242211144026,nothing,0
1761180217.0383332,12.063128822552763,2.323015015720863,-2.0916316320201784,-7.719906107814866,nothing,0
1761180217.0546024,7.466217184351587,-2.7748648332308266,-4.38829860222988,-10.500577148351136,nothing,0
1761180217.0838876,8.891398512363722,-5.52247801775422,-2.882868708504246,-6.648420282355377,nothing,0
1761180217.0982702,10.048739605192633,-4.63310891885707,-1.460501272496311,-6.5649716460158505,nothing,0
1761180217.1146548,7.623993036095664,3.2495771731815184,-1.7958070471287533,-3.680053358969234,nothing,0
1761180217.1441948,7.332268296346756,8.157590264320744,5.764697380852579,5.586848460025134,nothing,0
1761180217.1582048,6.53656280542357,2.9335083162916535,4.812473769734943,4.014987736093471,nothing,0
1761180217.1746209,1.1937488631240765,2.0360139070083307,2.02916797728654,3.1164438065276516,nothing,0
1761180217.2053308,0.9621571319150326,0.5478716498180831,7.831364916198874,9.920818754160111,nothing,0
1761180217.2182057,-3.2338779740292454,-4.5338437710446415,11.748315890514059,16.59223956676378,nothing,0
1761180217.2346425,-11.409042617532487,-11.618259240411982,5.353030295776338,5.100727018501212,nothing,0
1761180217.2639277,-14.067845783618688,-19.091257112209828,3.3769273756589815,1.4952680561423342,nothing,0
1761180217.2782145,-10.739177414156671,-6.099384349682579,13.420617942099904,20.14142198040588,nothing,0
1761180217.2946904,-8.542979950581149,2.8947611844696777,19.48038279345317,27.248016146481728,nothing,0
1761180217.324011,-12.019796799916676,-2.2777933199063316,17.789075607414762,21.570793901231283,nothing,0
1761180217.3381803,-24.202408560480738,-16.072259243076097,2.9194513470816794,5.784783781896719,nothing,0
1761180217.3546932,-17.422131789572138,-10.179750061370424,6.183073297594873,11.179344262970698,nothing,0
1761180217.3840127,-13.410208929153722,2.4319035474437363,19.395442631684162,23.238231473588446,nothing,0
1761180217.3982413,-13.607963352586285,-0.8453307053861238,16.430291658471358,20.8331120150525,nothing,0
1761180217.4147327,-15.704580488707226,-5.814129350127687,14.447164703289673,20.446534370967633,nothing,0
1761180217.4439588,-18.265716936906422,-5.701978149117953,20.167555171597733,29.247028712985298,nothing,0
1761180217.4582138,-20.045075454763698,-12.318984342173398,16.93432371484019,15.657264915574581,nothing,0
1761180217.474707,-23.19577679272857,-14.190165198574821,12.183906682077357,6.672589075835476,nothing,0
1761180217.50393,-24.561500039677203,-11.069397124446022,14.508470586980854,10.936041268092868,nothing,0
1761180217.518931,-31.416438006192582,-24.391570411062375,0.7275750081798035,-5.845718490068269,nothing,0
1761180217.5333486,-39.393266812409166,-42.2283995465926,-8.669202276001519,-20.598208514835243,nothing,0
1761180217.549611,-33.23317335548095,-33.83570302336779,-4.63517608425934,-17.903835582845158,nothing,0
1761180217.5789804,-35.8789030012719,-28.153566794637122,-5.588755000485343,-18.352112111014197,nothing,0
1761180217.5932317,-32.359035389072716,-16.249900574131573,1.7941999442662118,3.665365474125868,nothing,0
1761180217.6096652,-10.924247417533634,4.019530834343422,23.532697333957028,39.461380692067,nothing,0
1761180217.655367,-10.086315699622007,-2.8950473640451406,20.111663742186515,33.55723706702504,nothing,0
1761180217.6567583,-11.349610706507354,-6.620011691027751,21.05272251896786,28.552528099965958,nothing,0
1761180217.6682448,-18.338688967271175,-20.837521638037177,9.8710408542194,4.983208607096864,nothing,0
1761180217.69895,-34.173843742304896,-35.93058427256428,-11.014245397117865,-23.419399598148505,nothing,0
1761180217.713202,-35.08817739806106,-29.07942725238608,-4.45709163293215,-14.48764190875072,nothing,0
1761180217.7296977,-35.47073906242798,-24.406057990411878,-1.6397733676568809,-7.752692696237911,nothing,0
1761180217.7588544,-31.52392807026012,-24.38170363233078,-6.4420206401470885,-10.187801990502566,nothing,0
1761180217.7731996,-21.640135369382286,-8.311322676355426,7.296441350530873,6.58019445237124,nothing,0
1761180217.7896712,-20.349204813550255,-7.434238229313214,6.590264010306634,8.31183828817624,nothing,0
1761180217.818992,-28.406873324456885,-20.45086282937666,-7.93945818256985,-13.24959681198722,nothing,0
